"window","url","title","hostname"
"Window 1","http://localhost:8080/DCC","planex","localhost"
"Window 1","https://experimental-design.protimiza.com.br/e/4915437494075392","teste 1","experimental-design.protimiza.com.br"
"Window 1","https://api.highcharts.com/highcharts/chart.zoomType","chart.zoomType | highcharts API Reference","api.highcharts.com"
"Window 1","https://api.highcharts.com/highcharts/xAxis.top","xAxis.top | highcharts API Reference","api.highcharts.com"
"Window 1","https://www.w3schools.com/js/js_strict.asp","JavaScript ""usar estrito""","w3schools.com"
"Window 1","https://mathjs.org/docs/datatypes/matrices.html","math.js | an extensive math library for JavaScript and Node.js","mathjs.org"
"Window 1","https://www.npmjs.com/package/matrix-js","matrix-js - npm","npmjs.com"
"Window 1","https://www.geeksforgeeks.org/python-statistics-mean-function/","Estatísticas do Python | função mean() - GeeksforGeeks","geeksforgeeks.org"
