"window","url","title","hostname"
"Window 2","https://www.highcharts.com/demo/grid-light","Highcharts | Highcharts.com","highcharts.com"
"Window 2","https://www.highcharts.com/blog/download/","Download Highcharts | Highcharts","highcharts.com"
"Window 2","https://codepen.io/pen","Area range and line","codepen.io"
"Window 2","https://github.com/highcharts/highcharts#download-and-install-highcharts","highcharts/highcharts: Highcharts JS, the JavaScript charting framework","github.com"
"Window 2","https://www.highcharts.com/demo/synchronized-charts","Synchronized charts | Highcharts.com","highcharts.com"
"Window 2","https://codepen.io/pen","Scatter with regression line","codepen.io"
"Window 2","https://codepen.io/pen","Create a New Pen","codepen.io"
"Window 2","https://docs.anychart.com/3D_Plot/Surface_Chart","Surface Chart | 3D Plot | AnyChart Documentation","docs.anychart.com"
"Window 2","https://api.anychart.com/anychart.charts.Cartesian","anychart.charts.Cartesian class | AnyChart API Reference","api.anychart.com"
"Window 2","https://experimental-design.protimiza.com.br/e/4915437494075392","teste 1","experimental-design.protimiza.com.br"
"Window 2","https://www.highcharts.com/forum/viewtopic.php?t=36345","Make dynamic contour chart from json data - Highcharts official support forum","highcharts.com"
"Window 2","https://jsfiddle.net/e08kmdwh/","Hightcharts-contour Demo - JSFiddle - Code Playground","jsfiddle.net"
"Window 2","https://jsfiddle.net/cnft1xog/","Hightcharts-contour Demo - JSFiddle - Code Playground","jsfiddle.net"
"Window 2","https://www.highcharts.com/forum/viewtopic.php?t=35569","Heatmap contour with json data - Highcharts official support forum","highcharts.com"
"Window 2","http://jsfiddle.net/vwgLmLob/1/","Highcharts Demo - JSFiddle - Code Playground","jsfiddle.net"
"Window 2","http://jsfiddle.net/3fz5vdvt/1/","Highcharts Demo - JSFiddle - Code Playground","jsfiddle.net"
"Window 2","https://www.highcharts.com/docs/chart-and-series-types/scatter-chart","Scatter chart | Highcharts","highcharts.com"
"Window 2","https://www.highcharts.com/blog/download/","Download Highcharts | Highcharts","highcharts.com"
"Window 2","https://www.highcharts.com/docs/getting-started/installation","Installation | Highcharts","highcharts.com"
"Window 2","https://www.highcharts.com/docs/getting-started/your-first-chart?_ga=2.187135467.2118092812.1658772212-1622918848.1658428094","Your first chart | Highcharts","highcharts.com"
"Window 2","https://github.com/highcharts/highcharts#load-highcharts-from-the-cdn-as-ecmascript-modules","highcharts/highcharts: Highcharts JS, the JavaScript charting framework","github.com"
